store_uid,uuid,short_name,store_name,store_desc,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude,rand_uuid
01960_8e51e0a5_containerstore_peabody,8e51e0a5,containerstore,Container Store,Peabody,210 Andover Street,LL01,Peabody,MA,01960,"210 Andover Street Peabody, MA 01960",42.5414196,-70.9445901,05d42604
02467_1a370ad1_containerstore_chestnut_hill,1a370ad1,containerstore,Container Store,Chestnut Hill,55 Boylston St,,Chestnut Hill,MA,02467,"55 Boylston St Chestnut Hill, MA 02467",42.3227831,-71.1687096,403af20c
01760_bd4ac9aa_containerstore_natick,bd4ac9aa,containerstore,Container Store,Natick,1265 Worcester Street,,Natick,MA,01760,"1265 Worcester Street Natick, MA 01760",42.2997815,-71.3893956,4676f16e
02920_0d186a8a_containerstore_cranston,0d186a8a,containerstore,Container Store,Cranston,150 Hillside Rd,,Cranston,RI,02920,"150 Hillside Rd Cranston, RI 02920",41.7604202,-71.4574866,bd033ec6
11530_a0fa003f_containerstore_garden_city,a0fa003f,containerstore,Container Store,Garden City,902 Old Country Rd,,Garden City,NY,11530,"902 Old Country Rd Garden City, NY 11530",40.7448076,-73.6038542,b385c0b6
10601_fdd1e407_containerstore_white_plains,fdd1e407,containerstore,Container Store,White Plains,145 Westchester Avenue,,White Plains,NY,10601,"145 Westchester Avenue White Plains, NY 10601",41.0322012,-73.7576226,ac878bc9
10710_1d7c8925_containerstore_yonkers,1d7c8925,containerstore,Container Store,Yonkers,48 Market Street,,Yonkers,NY,10710,"48 Market Street Yonkers, NY 10710",40.9616324,-73.8555979,27ab6ef1
10011_0ca8d163_containerstore_new_york,0ca8d163,containerstore,Container Store,New York,629 Sixth Avenue,,New York,NY,10011,"629 Sixth Avenue New York, NY 10011",40.7403461,-73.9952173,c7c01dc2
07652_91b00fdd_containerstore_paramus,91b00fdd,containerstore,Container Store,Paramus,370 Route 17,#1,Paramus,NJ,07652,"370 Route 17 Paramus, NJ 07652",40.9459839,-74.0710441,7e5356c8
10314_d3b6df1b_containerstore_staten_island,d3b6df1b,containerstore,Container Store,Staten Island,283 Platinum Ave,Suite 1365,Staten Island,NY,10314,"283 Platinum Ave Staten Island, NY 10314",40.5801216,-74.1667504,d98faa3a
07039_8bdbe2fb_containerstore_livingston,8bdbe2fb,containerstore,Container Store,Livingston,372 W. Mount Pleasant Ave,,Livingston,NJ,07039,"372 W. Mount Pleasant Ave Livingston, NJ 07039",40.7969656,-74.3405558,2f257a9d
08805_9ef3d20e_containerstore_bound_brook,9ef3d20e,containerstore,Container Store,Bound Brook,335 Chimney Rock Rd,,Bound Brook,NJ,08805,"335 Chimney Rock Rd Bound Brook, NJ 08805",40.577125,-74.5609641,45bb588a
08002_eeab578a_containerstore_cherry_hill,eeab578a,containerstore,Container Store,Cherry Hill,2000 Route 38,OP-2,Cherry Hill,NJ,08002,"2000 Route 38 Cherry Hill, NJ 08002",39.942495,-75.0255696,4d6510a4
19406_24029c0b_containerstore_king_of_prussia,24029c0b,containerstore,Container Store,King of Prussia,650 W. Dekalb Pike,,King of Prussia,PA,19406,"650 W. Dekalb Pike King of Prussia, PA 19406",40.0881682,-75.3832079,57b2d017
19702_9a0a9d1d_containerstore_newark,9a0a9d1d,containerstore,Container Store,Newark,2200 Fashion Center Blvd,,Newark,DE,19702,"2200 Fashion Center Blvd Newark, DE 19702",39.6739544,-75.6496298,53ea893b
21401_cd405926_containerstore_annapolis,cd405926,containerstore,Container Store,Annapolis,2280 Annapolis Mall,,Annapolis,MD,21401,"2280 Annapolis Mall Annapolis, MD 21401",38.9910747,-76.5454317,07d97bbb
20016_fef3afb7_containerstore_washington,fef3afb7,containerstore,Container Store,Washington,4500 Wisconsin Avenue,,Washington,DC,20016,"4500 Wisconsin Avenue Washington, DC 20016",38.9484195,-77.0799745,d06f629b
22201_63a97686_containerstore_arlington,63a97686,containerstore,Container Store,Arlington,2800 Clarendon Blvd.,R-750,Arlington,VA,22201,"2800 Clarendon Blvd. Arlington, VA 22201",38.8875055,-77.092154,83617fe5
20852_1ed58d1e_containerstore_rockville,1ed58d1e,containerstore,Container Store,Rockville,1601 Rockville Pike,,Rockville,MD,20852,"1601 Rockville Pike Rockville, MD 20852",39.0635333,-77.1264943,45735d50
22182_f826004d_containerstore_vienna,f826004d,containerstore,Container Store,Vienna,8459 Leesburg Pike,,Vienna,VA,22182,"8459 Leesburg Pike Vienna, VA 22182",38.9246276,-77.2399248,8edc1573
20190_ab97d697_containerstore_reston,ab97d697,containerstore,Container Store,Reston,1851 Fountain Dr.,,Reston,VA,20190,"1851 Fountain Dr. Reston, VA 20190",38.9616959,-77.3549644,0e67e5e0
