store_uid,uuid,short_name,store_name,store_desc,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude,rand_uuid
48083_463c20dc_containerstore_troy,463c20dc,containerstore,Container Store,Troy,805 E Big Beaver Rd,,Troy,MI,48083,"805 E Big Beaver Rd Troy, MI 48083",42.564155,-83.132021,a8247d62
48377_f3176cb6_containerstore_novi,f3176cb6,containerstore,Container Store,Novi,43525 W. Oaks Dr,,Novi,MI,48377,"43525 W. Oaks Dr Novi, MI 48377",42.4900222,-83.4778577,15e0cc63
30009_9fcf812e_containerstore_alpharetta,9fcf812e,containerstore,Container Store,Alpharetta,2740 Old Milton Pkwy,,Alpharetta,GA,30009,"2740 Old Milton Pkwy Alpharetta, GA 30009",34.0695128,-84.2793962,ca65f56e
30346_1a5ef840_containerstore_atlanta,1a5ef840,containerstore,Container Store,Atlanta,120 Perimeter Center West,Suite 100,Atlanta,GA,30346,"120 Perimeter Center West Atlanta, GA 30346",33.9260802,-84.3432297,af45330d
30319_d4687d86_containerstore_atlanta,d4687d86,containerstore,Container Store,Atlanta,3637 Peachtree Road,Suite C,Atlanta,GA,30319,"3637 Peachtree Road Atlanta, GA 30319",33.8534573,-84.3585195,55d4d4a0
45236_c98e66ca_containerstore_cincinnati,c98e66ca,containerstore,Container Store,Cincinnati,5901 East Galbraith Road,Suite 130,Cincinnati,OH,45236,"5901 East Galbraith Road Cincinnati, OH 45236",39.2043025,-84.3736758,81bfbfbe
46250_faf2390c_containerstore_indianapolis,faf2390c,containerstore,Container Store,Indianapolis,4120 E. 82nd St,,Indianapolis,IN,46250,"4120 E. 82nd St Indianapolis, IN 46250",39.9078048,-86.094833,11b99846
37215_80cc362d_containerstore_nashville,80cc362d,containerstore,Container Store,Nashville,2121 Green Hills Village Dr,,Nashville,TN,37215,"2121 Green Hills Village Dr Nashville, TN 37215",36.1074305,-86.8146594,58076b36
60605_9dcc30dc_containerstore_chicago,9dcc30dc,containerstore,Container Store,Chicago,150 W. Roosevelt Rd,,Chicago,IL,60605,"150 W. Roosevelt Rd Chicago, IL 60605",41.8688836,-87.6322919,89af2286
60642_96072811_containerstore_chicago,96072811,containerstore,Container Store,Chicago,908 West North Avenue,,Chicago,IL,60642,"908 West North Avenue Chicago, IL 60642",41.9110445,-87.652379,466425a8
60062_a338a750_containerstore_northbrook,a338a750,containerstore,Container Store,Northbrook,101 Skokie Blvd.,,Northbrook,IL,60062,"101 Skokie Blvd. Northbrook, IL 60062",42.1511247,-87.7990031,eafe491d
