store_add1,store_add2,store_add3,store_add4
"
        1460 East Golf Road","
        Schaumburg, IL 60173","
        1460 East Golf Road","
        Schaumburg, IL 60173"
"
        610 Oakbrook Center","
        Oak Brook, IL 60523","
        610 Oakbrook Center","
        Oak Brook, IL 60523"
"
        101 Skokie Blvd.","
        Northbrook, IL 60062","
        101 Skokie Blvd.","
        Northbrook, IL 60062"
"
        150 W. Roosevelt Rd","
        Chicago, IL 60605","
        150 W. Roosevelt Rd","
        Chicago, IL 60605"
"
        908 West North Avenue","
        Chicago, IL 60642","
        908 West North Avenue","
        Chicago, IL 60642"
"
        120 Perimeter Center West","
        Suite 100","
        Atlanta, GA 30346","
        120 Perimeter Center West"
"
        3637 Peachtree Road","
        Suite C","
        Atlanta, GA 30319","
        3637 Peachtree Road"
"
        2740 Old Milton Pkwy","
        Alpharetta, GA 30009","
        2740 Old Milton Pkwy","
        Alpharetta, GA 30009"
"
        4720 W. Spruce Street","
        Tampa, FL 33607","
        4720 W. Spruce Street","
        Tampa, FL 33607"
"
        11201 Legacy Ave","
        Palm Beach Gardens, FL 33410","
        11201 Legacy Ave","
        Palm Beach Gardens, FL 33410"
"
        4088 Millenia Blvd","
        Orlando, FL 32839","
        4088 Millenia Blvd","
        Orlando, FL 32839"
"
        7200 N. Kendall Drive","
        Miami, FL 33156","
        7200 N. Kendall Drive","
        Miami, FL 33156"
"
        500 Seabiscuit Trail","
        Suite 1005","
        Hallandale Beach, FL 33009","
        500 Seabiscuit Trail"
"
        6000 Glades Road","
        Suite 1002","
        Boca Raton, FL 33431","
        6000 Glades Road"
"
        4500 Wisconsin Avenue","
        Washington, DC 20016","
        4500 Wisconsin Avenue","
        Washington, DC 20016"
"
        2200 Fashion Center Blvd","
        Newark, DE 19702","
        2200 Fashion Center Blvd","
        Newark, DE 19702"
"
        8687 Park Meadows Center Drive","
        Lone Tree, CO 80124","
        8687 Park Meadows Center Drive","
        Lone Tree, CO 80124"
"
        51 W. FlatIron Crossing Dr.","
        #ANC02","
        Broomfield, CO 80021","
        51 W. FlatIron Crossing Dr."
"
        1925 Briargate Pkwy","
        Ste. 611","
        Colorado Springs, CO 80920","
        1925 Briargate Pkwy"
"
        3110 E. First Ave","
        Suite 2010","
        Denver, CO 80206","
        3110 E. First Ave"
"
        1100 Locust Street","
        Walnut Creek, CA 94596","
        1100 Locust Street","
        Walnut Creek, CA 94596"
"
        3080 Stevens Creek Blvd.","
        Suite 1000","
        San Jose, CA 95128","
        3080 Stevens Creek Blvd."
"
        26 Fourth Street","
        San Francisco, CA 94103","
        26 Fourth Street","
        San Francisco, CA 94103"
"
        7097 Friars Road","
        San Diego, CA 92108","
        7097 Friars Road","
        San Diego, CA 92108"
"
        2030 Arden Way","
        Sacramento, CA 95825","
        2030 Arden Way","
        Sacramento, CA 95825"
"
        One East Union Street","
        Pasadena, CA 91103","
        One East Union Street","
        Pasadena, CA 91103"
"
        500 Stanford Shopping Center","
        Palo Alto, CA 94304","
        500 Stanford Shopping Center","
        Palo Alto, CA 94304"
"
        450 Town Center Drive","
        Oxnard, CA 93036","
        450 Town Center Drive","
        Oxnard, CA 93036"
"
        110 S. Fairfax Ave.","
        A-17","
        Los Angeles, CA 90036","
        110 S. Fairfax Ave."
"
        710 S Pacific Coast Hwy","
        El Segundo, CA 90245","
        710 S Pacific Coast Hwy","
        El Segundo, CA 90245"
"
        901-G South Coast Drive","
        Costa Mesa, CA 92626","
        901-G South Coast Drive","
        Costa Mesa, CA 92626"
"
        219 Corte Madera Town Center","
        Corte Madera, CA 94925","
        219 Corte Madera Town Center","
        Corte Madera, CA 94925"
"
        10250 Santa Monica Blvd.","
        Suite 218","
        Los Angeles, CA 90067","
        10250 Santa Monica Blvd."
"
        209 North University Avenue","
        Suite 100","
        Little Rock, AR 72205","
        209 North University Avenue"
"
        4500 N. Oracle Rd","
        Tucson, AZ 85705","
        4500 N. Oracle Rd","
        Tucson, AZ 85705"
"
        18550 North Scottsdale Road","
        Phoenix , AZ 85054","
        18550 North Scottsdale Road","
        Phoenix , AZ 85054"
"
        4949 N. 20th Street","
        Phoenix, AZ 85016","
        4949 N. 20th Street","
        Phoenix, AZ 85016"
