,store_uid,store_desc,store_name,store_add1,store_add2,store_city,store_state,store_zip,store_address_full,Latitude,Longitude
38,45069_ikea_west_chester,IKEA,West Chester,9500 IKEA Way,,West Chester,OH,45069,"9500 IKEA Way West Chester, OH 45069",39.3154678,-84.4339977
39,80112_ikea_centennial,IKEA,Centennial,9800 E. IKEA Way,,Centennial,CO,80112,"9800 E. IKEA Way Centennial, CO 80112",39.5720848,-104.8750157
40,32256_ikea_jacksonville,IKEA,Jacksonville,7801 Gate Pkwy,,Jacksonville,FL,32256,"7801 Gate Pkwy Jacksonville, FL 32256",30.2374622,-81.5167824
41,92108_ikea_san_diego,IKEA,San Diego,2149 Fenton Parkway,,San Diego,CA,92108,"2149 Fenton Parkway San Diego, CA 92108",32.7801705,-117.1262915
42,95605_ikea_west_sacramento,IKEA,West Sacramento,700 IKEA Court,,West Sacramento,CA,95605,"700 IKEA Court West Sacramento, CA 95605",38.5864966,-121.5535913
43,06511_ikea_new_haven,IKEA,New Haven,450 Sargent Drive,,New Haven,CT,06511,"450 Sargent Drive New Haven, CT 06511",41.2958017,-72.9200335
44,94303_ikea_east_palo_alto,IKEA,East Palo Alto,1700 East Bayshore Road,,East Palo Alto,CA,94303,"1700 East Bayshore Road East Palo Alto, CA 94303",37.4611767,-122.1394766
45,92626_ikea_costa_mesa,IKEA,Costa Mesa,1475 South Coast Drive,,Costa Mesa,CA,92626,"1475 South Coast Drive Costa Mesa, CA 92626",33.6910441,-117.9162956
46,91502_ikea_burbank,IKEA,Burbank,600 South IKEA Way,,Burbank,CA,91502,"600 South IKEA Way Burbank, CA 91502",34.1748067,-118.3035453
47,85284_ikea_tempe,IKEA,Tempe,2110 West IKEA Way,,Tempe,AZ,85284,"2110 West IKEA Way Tempe, AZ 85284",33.3409062,-111.9703209
48,94608_ikea_emeryville,IKEA,Emeryville,4400 Shellmound Street,,Emeryville,CA,94608,"4400 Shellmound Street Emeryville, CA 94608",37.8317539,-122.2919709
49,11374_ikea_queens,IKEA,Queens,96-05 Queens Blvd,,Queens,NY,11374,"96-05 Queens Blvd Queens, NY 11374",40.731424,-73.8618461
50,91723_ikea_covina,IKEA,Covina,848 South Barranca Avenue,,Covina,CA,91723,"848 South Barranca Avenue Covina, CA 91723",34.0744813,-117.8791263
51,90746_ikea_carson,IKEA,Carson,20700 South Avalon Boulevard,,Carson,CA,90746,"20700 South Avalon Boulevard Carson, CA 90746",33.8421187,-118.2605881
